Timestamp,Country.,Pin Code,Gender,Influencing Factors,Higher Education Aspiration,Work for 3+ Years?,Work for Unclear Mission?,Work for Inconsistent Mission?,Work for Non-Social Impact?,Preferred Working Environment?,Preferred Employers?,Which type of learning environment that you are most likely to work in ?,Which of the below careers looks close to your Aspirational job ?,Ideal Manager Type ?,Preferred Work Setup ?,Minimum Salary Expectation (First 3 Years),Expected Monthly Salary (After 5 Years)
16-12-2022 11:59,India,301019,F,Influencers,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",5,"Fully Remote, Travel as Needed",Learning-Friendly Employer,Self Paced Learning Portals,Teaching in any of the institutes/online or Offline,Manager Who Guides and Sets Goals,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team",31k to 40k,71k to 90k
16-12-2022 11:59,India,301019,F,Influencers,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",5,"Fully Remote, Travel as Needed",Learning-Friendly Employer,Self Paced Learning Portals,Business Operations in any organization,Manager Who Guides and Sets Goals,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team",31k to 40k,71k to 90k
16-12-2022 11:59,India,301019,F,Influencers,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",5,"Fully Remote, Travel as Needed",Learning-Friendly Employer,Self Paced Learning Portals,Manage and drive End-to-End Projects or Products,Manager Who Guides and Sets Goals,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team",31k to 40k,71k to 90k
16-12-2022 11:59,India,301019,F,Influencers,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",5,"Fully Remote, Travel as Needed",Learning-Friendly Employer,Learning by observing others,Teaching in any of the institutes/online or Offline,Manager Who Guides and Sets Goals,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team",31k to 40k,71k to 90k
16-12-2022 11:59,India,301019,F,Influencers,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",5,"Fully Remote, Travel as Needed",Learning-Friendly Employer,Learning by observing others,Business Operations in any organization,Manager Who Guides and Sets Goals,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team",31k to 40k,71k to 90k
16-12-2022 11:59,India,301019,F,Influencers,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",5,"Fully Remote, Travel as Needed",Learning-Friendly Employer,Learning by observing others,Manage and drive End-to-End Projects or Products,Manager Who Guides and Sets Goals,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team",31k to 40k,71k to 90k
16-12-2022 12:42,India,639111,M,World Leaders,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",1,"Fully Remote, Travel as Needed",Learning-Friendly Employer,Self Paced Learning Portals,Design and Develop amazing software,Goal-Setting Supportive Manager,Work alone,16k to 20k,71k to 90k
16-12-2022 12:42,India,639111,M,World Leaders,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",1,"Fully Remote, Travel as Needed",Learning-Friendly Employer,Self Paced Learning Portals,Look deeply into Data and generate insights,Goal-Setting Supportive Manager,Work alone,16k to 20k,71k to 90k
16-12-2022 12:42,India,639111,M,World Leaders,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",1,"Fully Remote, Travel as Needed",Learning-Friendly Employer,Self Paced Learning Portals,Work as a freelancer and do my thing my way,Goal-Setting Supportive Manager,Work alone,16k to 20k,71k to 90k
16-12-2022 12:42,India,639111,M,World Leaders,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",1,"Fully Remote, Travel as Needed",Learning-Friendly Employer,Instructor or Expert Learning Programs,Design and Develop amazing software,Goal-Setting Supportive Manager,Work alone,16k to 20k,71k to 90k
16-12-2022 12:42,India,639111,M,World Leaders,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",1,"Fully Remote, Travel as Needed",Learning-Friendly Employer,Instructor or Expert Learning Programs,Look deeply into Data and generate insights,Goal-Setting Supportive Manager,Work alone,16k to 20k,71k to 90k
16-12-2022 12:42,India,639111,M,World Leaders,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",1,"Fully Remote, Travel as Needed",Learning-Friendly Employer,Instructor or Expert Learning Programs,Work as a freelancer and do my thing my way,Goal-Setting Supportive Manager,Work alone,16k to 20k,71k to 90k
16-12-2022 13:29,India,515201,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",2,Daily Office Environment,Learning-Friendly Employer,Self Paced Learning Portals,Design and Creative strategy in any company,Goal-Setting Supportive Manager,Work with 5 to 6 people in my team,31k to 40k,50k to 70k
